date,momentum,mean_reversion,moving_average,volatility_breakout
2012-01-03,0.0,0.0,0.0,0.0
2012-01-04,0.0,0.0,0.0,0.0
2012-01-05,0.0,0.0,0.0,0.0
2012-01-06,0.0,0.0,0.0,0.0
2012-01-09,0.0,0.0,0.0,0.0
2012-01-10,0.0,0.0011565361363265025,0.0,0.0
2012-01-11,0.0,-0.00038604869863088085,0.0,0.0
2012-01-12,0.0,-0.0001,0.0,0.0
2012-01-13,0.0,-0.0016267946734537797,0.0,0.0
2012-01-16,0.0,-0.005643990952970146,0.0,0.0
2012-01-17,0.0,0.004144547515983366,0.0,0.0
2012-01-18,0.0,0.0027537736244831247,0.0,0.0
2012-01-19,0.0,0.005383657019017285,0.0,0.0
2012-01-20,0.0,-0.0001,0.0,0.0
2012-01-23,0.0,-0.003238369162237986,0.0,0.0
2012-01-24,0.0,-0.009016391164628112,0.0,0.0
2012-01-25,0.0,-0.007506525095029226,0.0,0.0
2012-01-26,0.0,-0.008581376740426172,0.0,0.0
2012-01-27,0.0,0.0010126625200621354,0.0,0.0
2012-01-30,0.0,-0.01054897186858753,0.0,0.0
2012-01-31,0.0,0.0031949446370122536,0.0,-0.001874436820941805
2012-02-01,0.0,0.00021582907537586192,0.0,-0.0001
2012-02-02,0.0,-0.0014370420364685278,0.0,-0.004284724295313791
2012-02-03,0.0,-0.0006637803466310043,0.0,0.0017271020969003349
2012-02-06,0.0,0.0018562294623448937,0.0,0.0005663156465856023
2012-02-07,0.0,-0.005666300393999279,0.0,0.003578760107609291
2012-02-08,0.0,0.0063540475084918665,0.0,0.0005574065546946727
2012-02-09,0.0,-0.007751633390067125,0.0,0.0023290166660861365
2012-02-10,0.0,-0.002298892784900397,0.0,0.00015343591362859677
2012-02-13,0.0,-0.004529004980650897,0.0,-0.0014230323666788891
2012-02-14,0.0,-0.003742549760485292,0.0,-0.0001
2012-02-15,0.0,0.005135828127470221,0.0,0.0
2012-02-16,0.0,-0.0018040845153395435,0.0,-0.0014272391431092379
2012-02-17,0.0,-0.00020387062582695171,0.0,-0.0001
2012-02-20,0.0,0.0066776836665588205,0.0,-0.0002869825476599196
2012-02-21,0.0,-0.0002,0.0,-0.0001
2012-02-22,0.0,0.0,0.0,0.0050508184280956825
2012-02-23,0.0,0.0,0.0,0.0017088513688114926
2012-02-24,0.0,0.0,0.0,-0.00019130298246133873
2012-02-27,0.0,0.0051990343870848554,0.0,-0.0013340029771182205
2012-02-28,0.0,0.0002107941083687283,0.0,-0.0001
2012-02-29,0.0,-0.0001,0.0,-0.0034089925558474675
2012-03-01,0.0,0.0,0.0,-0.0001
2012-03-02,0.0,0.0,0.0,0.0
2012-03-05,0.0,0.0,0.0,0.005111557148128154
2012-03-06,0.0,0.0,0.0,0.0006966182378360219
2012-03-07,0.0,0.0024712721003993356,0.0,0.004326711512741532
2012-03-08,0.0,-0.0001,0.0,0.001495949464101054
2012-03-09,0.0,0.0,0.0,-0.015088938701545328
2012-03-12,0.0,0.0035104375559707247,0.0,-0.00030000000000000003
2012-03-13,0.0,-0.0001,0.0,0.0
2012-03-14,0.0,0.0005822203610266531,0.0,0.0
2012-03-15,0.0,-0.0001,0.0,-0.0011182847585801902
2012-03-16,0.0,-0.0010085716663007726,0.0,-0.0001
2012-03-19,0.0,-0.0002,0.0,0.0
2012-03-20,0.0,0.009707515676412348,0.0,0.006877138730177446
2012-03-21,0.0,0.0070001421721028415,0.0,-0.0030006825165844186
2012-03-22,0.0,0.0038162778903623406,0.0,0.0006229051094621131
2012-03-23,0.0,-0.0001,0.0,0.00463697452323153
2012-03-26,0.0,0.0,0.0,-0.0053438106744014835
2012-03-27,0.0,0.0,0.0,0.00010851246958869538
2012-03-28,0.0,-0.0020887692323199093,0.0,0.0016321542120888654
2012-03-29,0.0,-0.0009766012556550962,0.0,0.0021610700902841007
2012-03-30,0.0,0.004350287104476802,0.0,0.003982992261437035
2012-04-02,0.0,0.0011735698683908557,0.0,-0.0073202914181184405
2012-04-03,0.0,-0.0001,0.0,0.00043456387796924077
2012-04-04,0.0,0.0,0.0,0.0006392310212477437
2012-04-05,0.0,0.0,0.0,0.004562628076032383
2012-04-06,0.0,-0.0016055720324454127,0.0,0.002767941203507185
2012-04-09,0.0,-0.0007848396616921937,0.0,-0.003217615573292498
2012-04-10,0.0,0.006641451210168769,0.0,-0.0001
2012-04-11,0.0,0.0059900460647769,0.0,0.0
2012-04-12,0.0,-0.0001,0.0,0.0
2012-04-13,0.0,-0.0010908709533537508,0.0,0.0
2012-04-16,0.0,-0.003268117386482028,0.0,0.0
2012-04-17,0.0,0.0018883860468919323,0.0,0.0
2012-04-18,0.0,-0.002902643260165061,0.0,0.0
2012-04-19,0.0,0.007103308968284328,0.0,0.0
2012-04-20,0.0,-0.0001,0.0,0.0
2012-04-23,0.0,0.0,0.0,0.0
2012-04-24,0.0,0.0,0.0,-0.00029422817363590194
2012-04-25,0.0,0.0,0.0,-0.002531709179676955
2012-04-26,0.0,0.0,0.0,0.0031857502692683283
2012-04-27,0.0,-0.00010450856236240416,0.0,-0.0005973583993024057
2012-04-30,0.0,-0.0001,0.0,-0.001680386351405805
2012-05-01,0.0,0.005547277365550574,0.0,-0.0001
2012-05-02,0.0,-0.0001,0.0,0.0
2012-05-03,0.0,0.001852575324478578,0.0,0.0
2012-05-04,0.0,0.006098992601731057,0.0,0.0
2012-05-07,0.0,-0.0002,0.0,-0.010952326479569952
2012-05-08,0.0,0.0073803360784421065,0.0,-0.00030000000000000003
2012-05-09,0.0,-0.0002,0.0,0.004599904919664488
2012-05-10,0.0,0.0,0.0,-0.0037157855422336626
2012-05-11,0.0,0.0,0.0,-0.006068590236042104
2012-05-14,0.0,-0.0033624460946938828,0.0,-0.0001
2012-05-15,0.0,0.0006369707145482686,0.0,0.0
2012-05-16,0.0,-0.00815954075804054,0.0,0.0
2012-05-17,0.0,-0.0018631584731143124,0.0,0.0
2012-05-18,0.0,-0.008476434604323069,0.0,0.0
2012-05-21,0.0,0.005696535736609254,0.0,0.0
2012-05-22,0.0,0.010863870847607815,0.0,0.0
2012-05-23,0.0,-0.0001,0.0,0.0
2012-05-24,0.0,0.0,0.0,0.0
2012-05-25,0.0,0.0,0.0,0.0036187604409469
2012-05-28,0.0,0.0,0.0,-1.4434272082008981e-05
2012-05-29,0.0,0.0,0.0,-0.0011133546987359688
2012-05-30,0.0,0.0,0.0,-0.0001
2012-05-31,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0
2012-06-04,0.0,0.0,0.0,-0.007013292431106588
2012-06-05,0.0,0.0,0.0,-0.0001
2012-06-06,0.0,0.0,0.0,0.0
2012-06-07,0.0,0.0,0.0,0.0
2012-06-08,0.0,0.0043797875020921365,0.0,0.0
2012-06-11,0.0,-0.006825221576820128,0.0,0.0
2012-06-12,0.0,0.008635954119450973,0.0,0.0
2012-06-13,0.0,-0.0002,0.0,0.0007120696275165429
2012-06-14,0.0,0.0015983105299195333,0.0,-0.002962919112349793
2012-06-15,0.0,-0.004831903724707809,0.0,-0.0002
2012-06-18,0.0,-0.00012740608204240278,0.0,0.0
2012-06-19,0.0,-0.0001,0.0,0.0
2012-06-20,0.0,-0.006862993534242201,0.0,0.0
2012-06-21,0.0,0.0016750828730421109,0.0,0.0
2012-06-22,0.0,-0.0100440127387329,0.0,0.0
2012-06-25,0.0,0.007918672814796723,0.0,-0.0027729687072561293
2012-06-26,0.0,-0.011016192552461857,0.0,-0.0001
2012-06-27,0.001823788708645402,0.0034169058876423854,0.0,0.0
2012-06-28,-0.0005416612282762578,-0.004219089718003499,0.0,0.0
2012-06-29,0.00801037179227373,0.0034639719161399076,0.0,0.0
2012-07-02,-0.00016920435418970036,0.0007440001142140829,0.0,-0.002519062719399401
2012-07-03,0.009488724153715756,0.006630139127952761,0.0,-0.0001
2012-07-04,0.007656902743158689,-0.0001,0.0,0.0031532722176938477
2012-07-05,-0.002374911584481976,0.0,0.0,-0.0025643717112955656
2012-07-06,-0.006936325052161352,0.0,0.0,-0.0002
2012-07-09,-0.007557302182947523,0.0,0.0,-0.0019241864253885742
2012-07-10,0.0026633671723585994,0.0,0.0,-0.0001
2012-07-11,-0.005026074263520442,-0.008870892797207508,0.0,0.0
2012-07-12,0.0003474142947288872,-0.0018207254536269368,0.0,0.0019681397483558238
2012-07-13,0.006454595927300489,0.005372846534397712,0.0,0.0010817493929027755
2012-07-16,0.0007154517414051265,-0.0018960969816632534,0.0,-0.002692772260553189
2012-07-17,-0.0058151360990864156,-0.0038333689760666535,0.0,-0.0002
2012-07-18,0.0067443248229595906,0.006944240073588537,0.0,4.6074584242050775e-05
2012-07-19,0.0032790554033586662,-0.0001,0.0,-0.0007742376496357561
2012-07-20,0.003026090952553995,0.0059903110566076005,0.0,0.004031157237720717
2012-07-23,0.008092167129678996,-0.000678087076013556,0.0,-0.0015561951672781959
2012-07-24,0.006935176969406998,0.0046753000155484335,0.0,0.00015725523156538977
2012-07-25,-0.006367963532666087,-0.0001,0.0,0.001545907562312765
2012-07-26,0.012078160540324312,0.0,0.0,-0.0010084880787526896
2012-07-27,-0.009846553662262747,0.0,0.0,-0.0033830341669238706
2012-07-30,-0.007823140347491698,0.0028785772051945434,0.0,-0.0001
2012-07-31,-0.004613087317588915,-0.0011464631466760467,0.0,0.0
2012-08-01,0.0005482872008254258,-0.003472837874643697,0.0,0.0
2012-08-02,0.003737027852102881,-0.0027607147190244264,0.0,0.0
2012-08-03,0.0023672701015280406,-0.007094873654256506,0.0,0.00014239020108254295
2012-08-06,0.004344539701084549,0.004984775788528173,0.0,0.002927681107744462
2012-08-07,0.0057998418603648185,0.00783549578012963,0.0,0.0044652789987392975
2012-08-08,0.0024230304736513773,-0.0012622356416931214,0.0,0.003361622975869327
