regime_type,regime,strategy,cumulative_return,sharpe_ratio,max_drawdown,win_rate,annualized_volatility
trend_regime,bear,momentum,-0.33680554776960603,-1.1739001997139444,-0.3503928941567278,0.4314946619217082,0.07596479983206293
trend_regime,bear,mean_reversion,-0.31724994998162626,-1.2067700836802022,-0.32654603992054065,0.36298932384341637,0.0689202293654562
trend_regime,bear,moving_average,-0.16907797347879505,-0.4921392515917833,-0.2254810849610691,0.4653024911032028,0.07816932947164287
trend_regime,bear,volatility_breakout,-0.18423314870937912,-1.0956970675775959,-0.2086974474515504,0.17793594306049823,0.04089854752855351
trend_regime,bull,momentum,1.3908745776556741,1.401837214693613,-0.09475010649858218,0.5405727923627685,0.09685916251111093
trend_regime,bull,mean_reversion,0.19873475174373745,0.5110967728783798,-0.06043870336067403,0.32398568019093077,0.05644078491652696
trend_regime,bull,moving_average,1.0453813562866348,1.1940606072988948,-0.13323776582948765,0.5393794749403341,0.09380741506818008
trend_regime,bull,volatility_breakout,0.20367889916277915,0.5911978908051578,-0.0915684935288098,0.3060859188544153,0.049196219031775255
vol_regime,high_vol,momentum,0.11456669107798234,0.24504933709245466,-0.21461729086477377,0.46870748299319726,0.09383040558571194
vol_regime,high_vol,mean_reversion,0.09888566075169969,0.28070729927341115,-0.08571519345001422,0.33877551020408164,0.06514013110708697
vol_regime,high_vol,moving_average,0.17813418714415707,0.35259093077230885,-0.15270742188786013,0.46190476190476193,0.09159188447427408
vol_regime,high_vol,volatility_breakout,0.06722588421212139,0.2647207027813232,-0.08226634584108217,0.26598639455782314,0.04615707191304472
vol_regime,low_vol,momentum,0.499256636891803,0.8899238486502037,-0.1470913783972957,0.5054421768707483,0.0817734218519685
vol_regime,low_vol,mean_reversion,-0.26515864627989383,-0.8788797223004303,-0.2793348716138828,0.3360544217687075,0.05816562220970213
vol_regime,low_vol,moving_average,0.44257966547440875,0.8278456724912315,-0.14766468542863098,0.508843537414966,0.07972361366006854
vol_regime,low_vol,volatility_breakout,-0.07991385827875819,-0.2898735443880069,-0.14318086648809802,0.24625850340136055,0.04565985117097701
combined_regime,bear_high_vol,momentum,-0.22878950801128606,-1.5748888267712926,-0.24119270831473294,0.41414141414141414,0.08183465713114976
combined_regime,bear_high_vol,mean_reversion,-0.0776524622547039,-0.5123544675259424,-0.10260937271865567,0.3696969696969697,0.07485045836651402
combined_regime,bear_high_vol,moving_average,-0.10018682491081943,-0.5929841034188996,-0.1633057366955828,0.4585858585858586,0.08459993525199375
combined_regime,bear_high_vol,volatility_breakout,-0.06444268848225054,-0.8329334413983327,-0.09146364218264469,0.18383838383838383,0.03976290778243984
combined_regime,bear_low_vol,momentum,-0.14006038673018784,-0.8157789472672496,-0.17930017508491725,0.4451510333863275,0.0710099238257825
combined_regime,bear_low_vol,mean_reversion,-0.2597692062068322,-1.8552879102427713,-0.2614880137515496,0.35771065182829886,0.06384091816920172
combined_regime,bear_low_vol,moving_average,-0.07656161353843971,-0.40214529697348406,-0.12413137504915639,0.47058823529411764,0.07277393749378426
combined_regime,bear_low_vol,volatility_breakout,-0.12804181930104763,-1.2924211367804606,-0.14332828566786215,0.17329093799682035,0.04179290834091202
combined_regime,bull_high_vol,momentum,0.36504074782560236,0.9249784175051985,-0.08892332004445258,0.5183066361556065,0.10271244311054663
combined_regime,bull_high_vol,mean_reversion,0.20777912938071919,0.9568473577071236,-0.056345094531415674,0.32723112128146453,0.05868792334915386
combined_regime,bull_high_vol,moving_average,0.3093097764737589,0.8256226340364768,-0.0880638028862405,0.517162471395881,0.10020208830034705
combined_regime,bull_high_vol,volatility_breakout,0.16812692306890797,0.9203700307179318,-0.06880626100340381,0.3180778032036613,0.05004702327221896
combined_regime,bull_low_vol,momentum,0.7515041814423089,2.0017475245253356,-0.07993389922815841,0.5648379052369077,0.09002897184421485
combined_regime,bull_low_vol,mean_reversion,-0.007488436765434314,-0.016963276809376964,-0.07624773558798614,0.3204488778054863,0.05385931790775232
combined_regime,bull_low_vol,moving_average,0.5621829096818294,1.6673475133076565,-0.09368545140914608,0.5635910224438903,0.08631867624864255
combined_regime,bull_low_vol,volatility_breakout,0.030435028413237974,0.21931912492024652,-0.0870811925599353,0.29301745635910226,0.048256141278835187
combined_regime,unknown_high_vol,momentum,0.058735596304087645,2.4513519706078846,-0.0221245938653587,0.3069306930693069,0.058806626264787255
combined_regime,unknown_high_vol,mean_reversion,-0.013560639514153316,-0.47669436863466147,-0.0396656196756392,0.2871287128712871,0.06682086860804683
combined_regime,unknown_high_vol,moving_average,0.0,,0.0,0.0,0.0
combined_regime,unknown_high_vol,volatility_breakout,-0.02344677390577765,-1.4989139532221256,-0.03460498601698048,0.21782178217821782,0.0389861855901235
combined_regime,unknown_low_vol,momentum,-0.004601810881303847,-0.6142478226941641,-0.022170953491575496,0.2564102564102564,0.04678098901463398
combined_regime,unknown_low_vol,mean_reversion,0.0002092473228316738,0.052646930164571136,-0.025421049337386314,0.3076923076923077,0.04202929985090752
combined_regime,unknown_low_vol,moving_average,0.0,,0.0,0.0,0.0
combined_regime,unknown_low_vol,volatility_breakout,0.024028913813044728,3.174887054179395,-0.007320291418118519,0.46153846153846156,0.048704017105728886
combined_regime,unknown_unknown,momentum,0.0,,0.0,0.0,0.0
combined_regime,unknown_unknown,mean_reversion,-0.00679382812449536,-0.43739085222230223,-0.05134457080074617,0.3220338983050847,0.06221146665084853
combined_regime,unknown_unknown,moving_average,0.0,,0.0,0.0,0.0
combined_regime,unknown_unknown,volatility_breakout,0.004789139492547889,0.48622315792525705,-0.01658384407577096,0.2542372881355932,0.04393035304689606
